,Unnamed: 0,year,state,quarter,name,type,count,amount
0,0,2018,Andaman-_-nicobar-islands,q1,north and middle andaman district,TOTAL,442,931663
1,1,2018,Andaman-_-nicobar-islands,q1,south andaman district,TOTAL,5688,12560249
2,2,2018,Andaman-_-nicobar-islands,q1,nicobars district,TOTAL,528,1139849
3,0,2018,Andaman-_-nicobar-islands,q2,north and middle andaman district,TOTAL,825,1317863
4,1,2018,Andaman-_-nicobar-islands,q2,south andaman district,TOTAL,9395,23948236
5,2,2018,Andaman-_-nicobar-islands,q2,nicobars district,TOTAL,1120,3072437
6,0,2018,Andaman-_-nicobar-islands,q3,north and middle andaman district,TOTAL,1283,4901530
7,1,2018,Andaman-_-nicobar-islands,q3,south andaman district,TOTAL,13511,44268112
8,2,2018,Andaman-_-nicobar-islands,q3,nicobars district,TOTAL,1471,6387829
9,0,2018,Andaman-_-nicobar-islands,q4,north and middle andaman district,TOTAL,2137,7955636
10,1,2018,Andaman-_-nicobar-islands,q4,south andaman district,TOTAL,20136,75411841
11,2,2018,Andaman-_-nicobar-islands,q4,nicobars district,TOTAL,1485,7180859
12,0,2019,Andaman-_-nicobar-islands,q1,north and middle andaman district,TOTAL,3264,9561709
13,1,2019,Andaman-_-nicobar-islands,q1,south andaman district,TOTAL,25683,85501972
14,2,2019,Andaman-_-nicobar-islands,q1,nicobars district,TOTAL,1539,7236060
15,0,2019,Andaman-_-nicobar-islands,q2,north and middle andaman district,TOTAL,3371,8612103
16,1,2019,Andaman-_-nicobar-islands,q2,south andaman district,TOTAL,28490,102530956
17,2,2019,Andaman-_-nicobar-islands,q2,nicobars district,TOTAL,1828,9111651
18,0,2019,Andaman-_-nicobar-islands,q3,north and middle andaman district,TOTAL,4049,11481466
19,1,2019,Andaman-_-nicobar-islands,q3,south andaman district,TOTAL,27421,91023888
20,2,2019,Andaman-_-nicobar-islands,q3,nicobars district,TOTAL,2300,11566421
21,0,2019,Andaman-_-nicobar-islands,q4,north and middle andaman district,TOTAL,4716,13524057
22,1,2019,Andaman-_-nicobar-islands,q4,south andaman district,TOTAL,27843,110930312
23,2,2019,Andaman-_-nicobar-islands,q4,nicobars district,TOTAL,2600,12384162
24,0,2020,Andaman-_-nicobar-islands,q1,north and middle andaman district,TOTAL,5674,14697372
25,1,2020,Andaman-_-nicobar-islands,q1,south andaman district,TOTAL,32713,134679397
26,2,2020,Andaman-_-nicobar-islands,q1,nicobars district,TOTAL,2911,12099544
27,0,2020,Andaman-_-nicobar-islands,q2,north and middle andaman district,TOTAL,10979,22447714
28,1,2020,Andaman-_-nicobar-islands,q2,south andaman district,TOTAL,48088,132855779
29,2,2020,Andaman-_-nicobar-islands,q2,nicobars district,TOTAL,3895,14341509
30,0,2020,Andaman-_-nicobar-islands,q3,north and middle andaman district,TOTAL,16747,33486883
31,1,2020,Andaman-_-nicobar-islands,q3,south andaman district,TOTAL,95323,282366109
32,2,2020,Andaman-_-nicobar-islands,q3,nicobars district,TOTAL,5413,22166454
33,0,2020,Andaman-_-nicobar-islands,q4,north and middle andaman district,TOTAL,29349,68941322
34,1,2020,Andaman-_-nicobar-islands,q4,south andaman district,TOTAL,186494,523122463
35,2,2020,Andaman-_-nicobar-islands,q4,nicobars district,TOTAL,8688,35218871
36,0,2021,Andaman-_-nicobar-islands,q1,north and middle andaman district,TOTAL,27358,75027255
37,1,2021,Andaman-_-nicobar-islands,q1,south andaman district,TOTAL,207092,669604045
38,2,2021,Andaman-_-nicobar-islands,q1,nicobars district,TOTAL,10302,39075267
39,0,2021,Andaman-_-nicobar-islands,q2,north and middle andaman district,TOTAL,39200,90233389
40,1,2021,Andaman-_-nicobar-islands,q2,south andaman district,TOTAL,286907,760893021
41,2,2021,Andaman-_-nicobar-islands,q2,nicobars district,TOTAL,15307,48020607
42,0,2021,Andaman-_-nicobar-islands,q3,north and middle andaman district,TOTAL,46592,118254866
43,1,2021,Andaman-_-nicobar-islands,q3,south andaman district,TOTAL,382418,1116789011
44,2,2021,Andaman-_-nicobar-islands,q3,nicobars district,TOTAL,20754,74980519
45,0,2021,Andaman-_-nicobar-islands,q4,north and middle andaman district,TOTAL,53115,156486112
46,1,2021,Andaman-_-nicobar-islands,q4,south andaman district,TOTAL,558571,1694794708
47,2,2021,Andaman-_-nicobar-islands,q4,nicobars district,TOTAL,24437,81329281
48,0,2022,Andaman-_-nicobar-islands,q1,north and middle andaman district,TOTAL,60059,161624879
49,1,2022,Andaman-_-nicobar-islands,q1,south andaman district,TOTAL,705512,1872991196
50,2,2022,Andaman-_-nicobar-islands,q1,nicobars district,TOTAL,29177,94414128
51,0,2018,Andhra-pradesh,q1,east godavari district,TOTAL,943935,1235785516
52,1,2018,Andhra-pradesh,q1,srikakulam district,TOTAL,458921,587778029
53,2,2018,Andhra-pradesh,q1,spsr nellore district,TOTAL,531612,676643238
54,3,2018,Andhra-pradesh,q1,vizianagaram district,TOTAL,420990,505783446
55,4,2018,Andhra-pradesh,q1,visakhapatnam district,TOTAL,1256469,1749966197
56,5,2018,Andhra-pradesh,q1,prakasam district,TOTAL,534757,748990776
57,6,2018,Andhra-pradesh,q1,anantapur district,TOTAL,638664,788830646
58,7,2018,Andhra-pradesh,q1,ysr district,TOTAL,487333,681481931
59,8,2018,Andhra-pradesh,q1,west godavari district,TOTAL,577090,853547669
60,9,2018,Andhra-pradesh,q1,kurnool district,TOTAL,679623,764905299
61,10,2018,Andhra-pradesh,q1,chittoor district,TOTAL,830324,1009621878
62,11,2018,Andhra-pradesh,q1,guntur district,TOTAL,815932,1108686589
63,12,2018,Andhra-pradesh,q1,krishna district,TOTAL,863935,1284255180
64,0,2018,Andhra-pradesh,q2,east godavari district,TOTAL,1221677,2168914928
65,1,2018,Andhra-pradesh,q2,srikakulam district,TOTAL,559868,929392017
66,2,2018,Andhra-pradesh,q2,spsr nellore district,TOTAL,780454,1542057934
67,3,2018,Andhra-pradesh,q2,vizianagaram district,TOTAL,529588,811711368
68,4,2018,Andhra-pradesh,q2,visakhapatnam district,TOTAL,1641192,2987853607
69,5,2018,Andhra-pradesh,q2,prakasam district,TOTAL,739991,1571167562
70,6,2018,Andhra-pradesh,q2,anantapur district,TOTAL,937023,1690366079
71,7,2018,Andhra-pradesh,q2,ysr district,TOTAL,690842,1415500368
72,8,2018,Andhra-pradesh,q2,west godavari district,TOTAL,786033,1688025212
73,9,2018,Andhra-pradesh,q2,kurnool district,TOTAL,968439,1531888666
74,10,2018,Andhra-pradesh,q2,chittoor district,TOTAL,1185723,1990419126
75,11,2018,Andhra-pradesh,q2,guntur district,TOTAL,1088101,2108475812
76,12,2018,Andhra-pradesh,q2,krishna district,TOTAL,1224987,2448141593
77,0,2018,Andhra-pradesh,q3,east godavari district,TOTAL,3226907,3551247095
78,1,2018,Andhra-pradesh,q3,srikakulam district,TOTAL,1073883,1318322237
79,2,2018,Andhra-pradesh,q3,spsr nellore district,TOTAL,1308890,2215938596
80,3,2018,Andhra-pradesh,q3,vizianagaram district,TOTAL,970132,1163546007
81,4,2018,Andhra-pradesh,q3,visakhapatnam district,TOTAL,3394576,4821892253
82,5,2018,Andhra-pradesh,q3,prakasam district,TOTAL,1319651,2346453445
83,6,2018,Andhra-pradesh,q3,anantapur district,TOTAL,1815215,2681787750
84,7,2018,Andhra-pradesh,q3,ysr district,TOTAL,1557444,2235904512
85,8,2018,Andhra-pradesh,q3,west godavari district,TOTAL,1431282,2309078493
86,9,2018,Andhra-pradesh,q3,kurnool district,TOTAL,2921189,2908389262
87,10,2018,Andhra-pradesh,q3,chittoor district,TOTAL,2297429,3283517631
88,11,2018,Andhra-pradesh,q3,guntur district,TOTAL,1912529,3127764663
89,12,2018,Andhra-pradesh,q3,krishna district,TOTAL,2396934,3754202654
90,0,2018,Andhra-pradesh,q4,east godavari district,TOTAL,3052762,4652624623
91,1,2018,Andhra-pradesh,q4,srikakulam district,TOTAL,1252807,1870278610
92,2,2018,Andhra-pradesh,q4,spsr nellore district,TOTAL,1814997,3293448557
93,3,2018,Andhra-pradesh,q4,vizianagaram district,TOTAL,1386787,1817673253
94,4,2018,Andhra-pradesh,q4,visakhapatnam district,TOTAL,4791421,7366635865
95,5,2018,Andhra-pradesh,q4,prakasam district,TOTAL,1692862,3255254226
96,6,2018,Andhra-pradesh,q4,anantapur district,TOTAL,2286391,3975878156
97,7,2018,Andhra-pradesh,q4,ysr district,TOTAL,1732527,3252340063
98,8,2018,Andhra-pradesh,q4,west godavari district,TOTAL,1688482,3237504255
99,9,2018,Andhra-pradesh,q4,kurnool district,TOTAL,2508530,3626544852
100,10,2018,Andhra-pradesh,q4,chittoor district,TOTAL,3166201,4979093890
101,11,2018,Andhra-pradesh,q4,guntur district,TOTAL,2546620,4730251218
102,12,2018,Andhra-pradesh,q4,krishna district,TOTAL,2839161,5416251838
103,0,2019,Andhra-pradesh,q1,east godavari district,TOTAL,5440146,7382264725
104,1,2019,Andhra-pradesh,q1,srikakulam district,TOTAL,2526855,3407912878
105,2,2019,Andhra-pradesh,q1,spsr nellore district,TOTAL,3333584,5161932216
106,3,2019,Andhra-pradesh,q1,vizianagaram district,TOTAL,2798241,3364576948
107,4,2019,Andhra-pradesh,q1,visakhapatnam district,TOTAL,9690866,13459857441
108,5,2019,Andhra-pradesh,q1,prakasam district,TOTAL,2931081,4807527779
109,6,2019,Andhra-pradesh,q1,anantapur district,TOTAL,3891336,6044730653
110,7,2019,Andhra-pradesh,q1,ysr district,TOTAL,2852197,4915811594
111,8,2019,Andhra-pradesh,q1,west godavari district,TOTAL,2829437,4623764455
112,9,2019,Andhra-pradesh,q1,kurnool district,TOTAL,4193432,5541564893
113,10,2019,Andhra-pradesh,q1,chittoor district,TOTAL,6486813,8223371732
114,11,2019,Andhra-pradesh,q1,guntur district,TOTAL,4846553,7765934169
115,12,2019,Andhra-pradesh,q1,krishna district,TOTAL,5443981,9061346433
